absinthe;9.0;6.0;4.0;8.0;7.0;3.0;2.0
ail;7.0;5.0;5.0;8.0;7.0;2.0;2.0
aneth;7.0;6.0;4.0;7.0;7.0;3.0;3.0
artichaut;9.0;5.0;5.0;7.0;8.0;3.0;3.0
asperge;6.0;6.0;4.0;5.0;5.0;4.0;3.0
baguenaudier;6.0;7.0;4.0;8.0;4.0;3.0;2.0
basilic;7.0;8.0;5.0;6.0;7.0;2.0;3.0
bourrache officinale;7.0;6.0;3.0;6.0;6.0;4.0;3.0
camomille allemande;7.0;5.0;5.0;4.0;6.0;3.0;4.0
carotte sauvage;8.0;5.0;5.0;6.0;6.0;3.0;2.0
cassis;4.0;5.0;9.0;6.0;5.0;1.0;9.0
celeri;7.0;5.0;8.0;6.0;5.0;2.0;8.0
cerfeuil commun;7.0;6.0;5.0;7.0;8.0;3.0;2.0
cerisier;7.0;5.0;5.0;5.0;5.0;3.0;3.0
chanvre;8.0;6.0;5.0;7.0;8.0;3.0;3.0
chicoree;8.0;5.0;4.0;4.0;3.0;5.0;3.0
chou-rave;8.0;5.0;5.0;7.0;8.0;3.0;2.0
coriandre;7.0;8.0;4.0;7.0;6.0;3.0;3.0
cresson;7.0;5.0;9.0;6.0;6.0;1.0;8.0
epinard;7.0;7.0;5.0;7.0;8.0;3.0;3.0
fenouil;7.0;7.0;4.0;8.0;8.0;3.0;2.0
feve;8.0;8.0;5.0;8.0;8.0;2.0;2.0
feverolle;8.0;8.0;5.0;8.0;8.0;2.0;2.0
fraisier des bois;5.0;5.0;5.0;7.0;5.0;3.0;3.0
fusain d'europe;6.0;5.0;5.0;7.0;5.0;2.0;3.0
groseillier;4.0;5.0;7.0;6.0;6.0;1.0;2.0
inule visqueuse;8.0;8.0;7.0;7.0;6.0;1.0;8.0
kiwi;5.0;8.0;7.0;8.0;5.0;1.0;8.0
laitue;7.0;5.0;5.0;7.0;7.0;3.0;2.0
laurier-sauce;5.0;7.0;5.0;5.0;5.0;3.0;3.0
lavande;8.0;6.0;4.0;7.0;4.0;6.0;2.0
lin;7.0;6.0;5.0;6.0;6.0;3.0;2.0
mache;6.0;5.0;5.0;7.0;6.0;3.0;3.0
mais;9.0;7.0;5.0;7.0;8.0;2.0;3.0
marjolaine;7.0;8.0;5.0;8.0;6.0;3.0;3.0
matricaire inodore;8.0;6.0;5.0;6.0;6.0;3.0;3.0
melilot;8.0;8.0;4.0;7.0;7.0;4.0;2.0
melisse citronnelle;6.0;6.0;5.0;7.0;5.0;3.0;2.0
menthe;8.0;5.0;7.0;7.0;6.0;1.0;8.0
moutarde;8.0;6.0;7.0;7.0;8.0;1.0;3.0
myrtille;5.0;4.0;5.0;2.0;3.0;3.0;5.0
navet;8.0;5.0;5.0;7.0;8.0;3.0;2.0
nerprun alaterne;7.0;8.0;4.0;5.0;5.0;3.0;3.0
noyer;8.0;7.0;5.0;7.0;6.0;3.0;3.0
oignon;8.0;6.0;5.0;5.0;7.0;4.0;3.0
olivier;8.0;9.0;4.0;6.0;6.0;3.0;3.0
origan;6.0;5.0;5.0;7.0;4.0;3.0;3.0
orme;7.0;6.0;5.0;7.0;7.0;2.0;3.0
ortie;7.0;5.0;5.0;6.0;8.0;3.0;2.0
panais;7.0;7.0;4.0;6.0;6.0;3.0;2.0
panicaut;9.0;5.0;3.0;8.0;5.0;3.0;2.0
patate douce;8.0;5.0;5.0;8.0;7.0;2.0;2.0
persil;7.0;6.0;5.0;5.0;7.0;3.0;2.0
phacelie;8.0;6.0;5.0;5.0;7.0;3.0;3.0
pissenlit;8.0;5.0;5.0;6.0;6.0;3.0;1.0
poirier commun;6.0;5.0;5.0;4.0;5.0;3.0;3.0
pois;8.0;6.0;5.0;6.0;7.0;3.0;3.0
pomme de terre;8.0;5.0;5.0;8.0;7.0;2.0;2.0
pommier;5.0;5.0;5.0;4.0;5.0;4.0;3.0
potentille;8.0;5.0;4.0;7.0;3.0;3.0;2.0
potiron;8.0;8.0;5.0;5.0;7.0;3.0;3.0
prunier;7.0;5.0;5.0;5.0;5.0;3.0;3.0
radis;7.0;7.0;5.0;8.0;8.0;2.0;2.0
raifort;7.0;4.0;5.0;5.0;9.0;2.0;3.0
ricin;6.0;8.0;5.0;7.0;8.0;2.0;2.0
romarin;8.0;8.0;2.0;8.0;4.0;5.0;2.0
roquette;8.0;7.0;4.0;7.0;6.0;3.0;2.0
rue fetide;8.0;6.0;2.0;8.0;4.0;5.0;2.0
sarrasin;7.0;6.0;5.0;4.0;6.0;3.0;4.0
sarriette;8.0;8.0;3.0;8.0;7.0;3.0;2.0
sureau;5.0;5.0;5.0;7.0;5.0;3.0;3.0
tanaisie commune;8.0;5.0;4.0;8.0;7.0;4.0;2.0
tomate;8.0;7.0;5.0;7.0;8.0;3.0;3.0
topinambour;8.0;7.0;6.0;7.0;8.0;2.0;8.0
trefle blanc;7.0;5.0;5.0;5.0;6.0;3.0;3.0
verge d'or;6.0;5.0;5.0;5.0;4.0;4.0;4.0
