abeille;auxiliaire
absinthe;aromate
achillee millefeuille;fleur
agrume;fruit
ail;legume
altise du colza;nuisible
amarante;fleur
aneth;aromate
angelique;fleur
anis;aromate
araignee;auxiliaire
artichaut;legume
asperge;legume
aubergine;legume
baguenaudier;arbre
basilic;aromate
bette;legume
betterave;legume
bourdon;auxiliaire
bourrache officinale;fleur
brocoli;legume
buis;arbre
camomille allemande;fleur
campagnol;nuisible
capucine;fleur
carabe;auxiliaire
cardon;legume
carotte;legume
carotte sauvage;fleur
cassis;fruit
celeri;legume
cerfeuil commun;aromate
cerisier;fruit
chanvre;fleur
chenille;nuisible
chenopode blanc;fleur
chicoree;legume
chou-fleur;legume
chou-rave;legume
chou rouge;legume
chou;legume
chrysope verte;auxiliaire
ciboulette;aromate
ciboulette chinoise;aromate
coccinelle;auxiliaire
concombre;legume
coquelicot;fleur
coriandre;aromate
cornichon;legume
cosmos;fleur
courge;legume
courgette;legume
courtiliere;nuisible
cresson;legume
cumin;aromate
doryphore;nuisible
echalote;legume
epinard;legume
erable;arbre
escargot;nuisible
fenouil;legume
feve;legume
feverolle;legume
fourmi;nuisible
fraisier des bois;fruit
framboisier;fruit
fusain d'europe;arbre
genet;fleur
genevrier;arbre
geranium;fleur
groseillier;fruit
haricot;legume
inule visqueuse;fleur
kiwi;fruit
laitue;legume
laurier-sauce;arbre
lavande;fleur
lievre;nuisible
limace;nuisible
lin;cereale
mache;legume
mais;legume
marjolaine;fleur
matricaire inodore;fleur
melilot;fleur
melisse citronnelle;aromate
melon;fruit
menthe;aromate
mildiou;nuisible
morelle de balbis;fleur
mouche de la carotte;nuisible
moutarde;aromate
myrtille;fruit
narcisse;fleur
navet;legume
nematode;nuisible
nerprun alaterne;arbre
noisetier;arbre
noyer;arbre
oeillet d'inde;fleur
oignon;legume
olivier;arbre
origan;aromate
orme;arbre
ortie;fleur
panais;legume
panicaut;fleur
papillon;auxiliaire
pasteque;fruit
patate douce;legume
pecher;fruit
persil;aromate
phacelie;fleur
piment;legume
pissenlit;fleur
poireau;legume
poirier commun;fruit
pois;legume
poivron;legume
pomme de terre;legume
pommier;fruit
potentille;fleur
potiron;legume
prunier;fruit
puceron de la carotte;nuisible
puceron;nuisible
punaise;auxiliaire
radis;legume
raifort;legume
rat;nuisible
ray-grass;fleur
rhubarbe;legume
ricin;fleur
romarin;aromate
ronce;fruit
roquette;legume
rosier;fleur
rosier d'inde;fleur
rue fetide;aromate
salsifis cultive;legume
sarrasin;cereale
sarriette;aromate
sauge;aromate
souci;fleur
sureau;arbre
syrphide;auxiliaire
tanaisie commune;fleur
teigne du poireau;nuisible
thrips de l'oignon;nuisible
thym;aromate
tomate;legume
topinambour;legume
tournesol;fleur
trefle blanc;fleur
verge d'or;fleur
vigne;fruit
